Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Shami to Shakib, 1 run," Shakib gets off the mark straightaway. A pacy back of a length delivery at 141kph, Shakib walks across and tucks it towards fine leg to open his account"
Shami to Tamim, no run," 142kph, back of a length delivery, Tamim wrists it to mid-wicket"
Shami to Soumya Sarkar, 1 run," 137kph, dabs this short of length delivery to third man"
Bhuvneshwar to Soumya Sarkar, 1 run," fuller than a good length ball, Soumya Sarkar goes for the drive, inside-halves it to the left of mid-on"
Bhuvneshwar to Tamim, 1 run," off-pace ball at 121kph, once again it's on the pads and Tamim nurdles it behind square leg"
Bhuvneshwar to Soumya Sarkar, 1 run," back of a length delivery, too straight again, helped on its way to backward square leg"
Bhuvneshwar to Soumya Sarkar, no run," stump-to-stump line, blocked back to the bowler"
Bhuvneshwar to Tamim, 1 run," 136kph, leg-lined length ball, tucked through square leg"
Bhuvneshwar to Tamim, no run," 138kph, angling away, Tamim throws the kitchen sink, went very hard and in the process lost his shape. Failed to put bat on it and the ball goes to the keeper on the bounce"
Shami to Soumya Sarkar, no run," 141kph, Soumya Sarkar angles this length ball towards backward point by opening his bat-face, can't scamper through for a single though"
Shami to Soumya Sarkar, no run," fuller on off, blocked stoutly back at the bowler"
Shami to Soumya Sarkar, FOUR," first boundary for Soumya Sarkar! Should settle his nerves, if any. Pitched up delivery at 141kph, Sarkar gets forward and slices the drive over vacant point"
Shami to Soumya Sarkar, 2 runs, waits for this short of length delivery to come close to him and opens his bat-face to steer it square of the man at third man
Shami to Soumya Sarkar, no run," decks in from a short of length at 144kph, Soumya Sarkar didn't expect the ball to come in. Hurriedly brings his bat down and somehow manages to keep it out into the off-side"
Shami to Soumya Sarkar, no run," 139kph, short of a good length delivery from round the wicket, Soumya Sarkar tucks it to mid-wicket"
Bhuvneshwar to Tamim, no run," 137kph, on a good length and marginally outside off, Tamim gets behind the line of it and blocks it down the pitch"
Bhuvneshwar to Tamim, 2 runs," Tamim goes after this 141kph bouncer with a pull shot off the back foot. Got it off the top part of the bat, but fortunately for Tamim it fell in the no-man's land in the mid-wicket region"
Bhuvneshwar to Tamim, no run," 139kph, short of length delivery, jabbed to mid-wicket"
Bhuvneshwar to Tamim, 2 runs," slower ball - 121kph, but it is leg-lined, worked through backward square leg for two more"
Bhuvneshwar to Tamim, no run," bouncer, the batsman ducks under it"
Bhuvneshwar to Tamim, no run," full on middle and leg, flicked away, but straight to mid-wicket"
Bumrah to Soumya Sarkar, no run," 144kph, Soumya Sarkar opens his bat-face and guides it to the right of backward point. Hardik is quick to mop that up"
Bumrah to Tamim, byes," 1 run, sharp bumper and Tamim ducks under it. Dhoni leaps a gets a hand on it to take the pace off the ball. Saved three runs there did the keeper"
Bumrah to Tamim, no run," 150kph! Fuller than a good length ball, Tamim pushes it off the inside edge towards mid-wicket"
Bumrah to Tamim, no run, pacy in-slanter and Tamim is rooted in the crease. Plays down the wrong line and gets rapped on the front pad. That's missing leg though. Hence no major appeal for lbw
Bumrah to Soumya Sarkar, 5 runs," 141kph, back of a length delivery cramping the batter for room. Soumya Sarkar taps it in front of backward point and sets off for a sharp single. Hardik has a shy at the striker's end and Chahal (backing up) can't stop that despite a dive. Four bonus runs for Sarkar and Bangladesh. Bumrah isn't happy"
Bumrah to Soumya Sarkar, no run," 143kph, steers a length ball to the left of backward point and Hardik makes a good stop moving across"
Bhuvneshwar to Soumya Sarkar, 1 run," 133kph, back of a length delivery, bounces a bit more than Soumya Sarkar expected it to. Plays with soft hands as he runs it down to third man. The bottom hand came off the handle too"
Bhuvneshwar Kumar bowled from over the wicket to Tamim this over. Back to round the wicket against Soumya Sarkar, 1 run," 133kph, back of a length delivery, bounces a bit more than Soumya Sarkar expected it to. Plays with soft hands as he runs it down to third man. The bottom hand came off the handle too"
Bhuvneshwar to Tamim, 1 run, fuller in length and Tamim drives it to the right of mid-off for a quick single
Bhuvneshwar to Tamim, no run," 138kph, seams in a touch from a short of length and Tamim tries to punch, squirts an inside edge towards the on-side"
Bhuvneshwar to Tamim, no run, three in a row! Back of a length delivery and Tamim is late to close his bat-face. Hits the thigh pad and rolls towards the cordon
Bhuvneshwar to Tamim, no run," once again, Tamim is cramped for room and the batsman is also beaten for pace. It zipped through"
Bhuvneshwar to Tamim, no run," 139kph, short of length delivery, Tamim plays all around it as he is cramped for room. Gets hit on the front leg, but it pitched outside leg"
Bumrah to Soumya Sarkar, no run, maiden over! Slants in a short of length delivery at 143kph and that's been kept out into the off-side from the crease
Bumrah to Soumya Sarkar, no run, beaten again! Another out-seamer at 140kph and Soumya Sarkar was shaping up to play a booming drive. Whizzed past the outside edge
Bumrah to Soumya Sarkar, no run," fuller in length, Soumya Sarkar straight-bats the block towards mid-off"
Bumrah to Soumya Sarkar, no run," 137kph, straighter line from a length and Soumya Sarkar defends it into the leg-side"
Bumrah to Soumya Sarkar, no run," peach! Seam-up ball, angles in and nips away off the deck opening up Soumya Sarkar in the process. The left-hander hopped and stuck his bat out to have a feel for it. Missed the outside edge and wasn't far away from the off-stump either"
Just one slip, no run," peach! Seam-up ball, angles in and nips away off the deck opening up Soumya Sarkar in the process. The left-hander hopped and stuck his bat out to have a feel for it. Missed the outside edge and wasn't far away from the off-stump either"
Bumrah to Soumya Sarkar, no run," 146kph, pitched up delivery, Soumya Sarkar drives it with a bent back leg, finds mid-off"
Bhuvneshwar to Tamim, 2 runs," 137kph, attacks the stumps from a length and that's been tucked through mid-wicket for a couple"
Bhuvneshwar to Tamim, FOUR," third boundary for Tamim. Too wide from Bhuvneshwar, you can't bowl there to him. Easy pickings for Tamim, who stands tall and fiercely cuts it through point. Sped away to the fence"
Bhuvneshwar to Soumya Sarkar, 1 run," 138kph, Soumya Sarkar uses the bowler's angle (slanted across) in running it down to third man"
Bhuvneshwar to Soumya Sarkar, no run," back of a length delivery, waits for the ball and dabs it towards second slip"
Bhuvneshwar to Soumya Sarkar, no run," 138kph, short of a good length, Soumya Sarkar is half-forward to pat it towards mid-off with an angled blade"
Bhuvneshwar to Soumya Sarkar, no run," in-angler, no room on offer and Soumya Sarkar defends down the pitch"
Bumrah to Tamim, FOUR, two boundaries in the over for Tamim. Bumrah dishes out width outside off on this short of length after changing the angle (round the wicket). The southpaw doesn't need second invitation to pounce. Throws his bat and flays it through cover-point
Bumrah to Tamim, no run," 139kph, good length delivery, Tamim gets forward and blocks it towards cover"
Bumrah to Tamim, FOUR," top shot! A half-volley on the pads at 140kph, Tamim puts it away in style. Leans across and flicks it nonchalantly past the diving mid-wicket fielder"
Bumrah to Tamim, no run," 139kph, short ball, Tamim rides the bounce with a hop and drops it into the off-side with soft hands. Can't nab a run"
Bumrah to Tamim, no run," 137kph, touch fuller than a good length, defended towards cover"
Two slips positioned, no run," 137kph, touch fuller than a good length, defended towards cover"
Bumrah to Tamim, no run," 137kph, fuller than a good length ball on the sticks, Tamim blunts it on the leg-side"
Bhuvneshwar to Soumya Sarkar, no run, gets the last ball to swing in and Soumya Sarkar hurriedly brings his bat down to block it out. Tidy start from Bhuvneshwar
Bhuvneshwar to Soumya Sarkar, no run, back of a length delivery jags away a long way wide of off and Soumya Sarkar tentatively fished at it. Goes past the outside edge and that's not wided
Stays round the wicket, no run, back of a length delivery jags away a long way wide of off and Soumya Sarkar tentatively fished at it. Goes past the outside edge and that's not wided
Bhuvneshwar to Tamim, 1 run," length ball with a hint of away shape from round the wicket, Tamim drives with hard hands and ends up outside-edging it past second slip. A single down to third man"
Bhuvneshwar to Tamim, no run," 135kph, Tamim sees the width outside off and slashes at it. Got beaten by the lack of pace"
Bhuvneshwar to Tamim, no run," 137kph, good length delivery attacking the sticks, Tamim tucks it to mid-wicket"
Bhuvneshwar to Tamim, no run," starts with a full and away-angling delivery outside off, Tamim shoulders arms"
Tamim and Soumya Sarkar are at the crease. Tamim is on strike. Bhuvneshwar will open the attack, no run," starts with a full and away-angling delivery outside off, Tamim shoulders arms"
14:18 Local Time, 13:18 GMT," 18:48 IST: Bangladesh would be the happier team going into the break. India looked like getting to 340 but Mustafizur and Shakib bowled brilliant last spells to peg back India. India were 180 for 1 in the 30th over but weren't able to accelerate as wickets kept falling regularly. After Rohit got out, Kohli, Pant and Dhoni got starts but none could play the decisive knock. A target of 315 is going to be tricky on this wicket. The wicket slowed down towards the later part of that innings and that was one major reason why batters found it difficult to time it."
300+ run chases in ODIs by Bangladesh322 v WI Taunton 2019 (World Cup)319 v Sco Nelson 2015 (World Cup)313 v Zim Bulawayo 2009308 v NZ Fatullah 2013, 13:18 GMT," 18:48 IST: Bangladesh would be the happier team going into the break. India looked like getting to 340 but Mustafizur and Shakib bowled brilliant last spells to peg back India. India were 180 for 1 in the 30th over but weren't able to accelerate as wickets kept falling regularly. After Rohit got out, Kohli, Pant and Dhoni got starts but none could play the decisive knock. A target of 315 is going to be tricky on this wicket. The wicket slowed down towards the later part of that innings and that was one major reason why batters found it difficult to time it."
Mustafizur to Bhuvneshwar, wide," out Bhuvneshwar Run Out!! That was short, Bhuvneshwar didn't even make an attempt to hit it, allowed the ball to go through to the keeper, then runs for a single after a pause and finds himself short of the crease as Rahim threw it to the bowler, who took the bails off at the other end. Bhuvneshwar run out (Rahim/Mustafizur) 2(3)"
Mustafizur to Shami, 1 run," short ball, pulled away to deep mid for a single. Another slower, short ball"
Mustafizur to Bhuvneshwar, 1 run," on a length, inside edges the ball away into the on-side for a single. The wicket is only responding to slower balls now"
Mustafizur to Dhoni, no run," length delivery going across. No pace on it, Dhoni smashes it but finds the man at mid-on"
Mustafizur to Dhoni, no run," length delivery going across, Dhoni smashes it down to long-off. Denies the single"
Saifuddin to Dhoni, 1 run, and smart from him! Pushes the ball out into the covers and gets a single
Saifuddin to Dhoni, FOUR," what fast hands! That was smashed between cover and extra cover for a four. Incredible hit. Slower, shorter and Dhoni helicoptered the cut between the fielders"
Saifuddin to Dhoni, no run, nice yorker outside off and Dhoni looks to sweep! Misses. That was a good ball and Dhoni failed to connect
Saifuddin to Dhoni, no run, yorkerish delivery outside off and has been patted out into the covers
Saifuddin to Dhoni, FOUR, fuller delivery and has been scorched out past cover for a four. That was in the slot and Dhoni muscled it away to beat the man at deep cover
Saifuddin to Dhoni, 2 runs, fuller delivery outside off and has been stabbed out to deep cover for a double. India finishing slow again. The onus is on Dhoni
Mustafizur to Bhuvneshwar, no run, bangs the ball in and Bhuvneshwar ducks under it and lets it go
Mustafizur to Dhoni, 1 run," short ball, cuts it out to deep third man for a single. Was uppish and was away from the fielder"
Mustafizur to Dhoni, no run," short, too wide, lets it go and it hasn't been called a wide. Dot ball!"
Mustafizur to Bhuvneshwar, 1 run, fuller delivery on the sticks and has been pushed out into the covers for a single
Mustafizur to Dhoni, 1 run, fuller delivery on the pads and has been clipped away to deep mid for a single
Saifuddin to Dhoni, 1 run, fuller ball and Dhoni opens the face of the bat to guide it to deep third man for a single. May be an overthrow but the ball didn't go too far away for the duo to take extra runs
Saifuddin to Karthik, 1 run, fuller ball on the pads and clipped away to deep mid for a single
Saifuddin to Karthik, FOUR, fuller delivery and has been steered away between point and short third man for a four. Just used the angle and the pace of the bowler to get it into the gap
Saifuddin to Dhoni, 1 run, fuller ball outside off and has been driven into the covers for a single
Saifuddin to Karthik, 1 run, slams the cut off the back foot and the man at cover picks the ball up
Saifuddin to Dhoni, 1 run, stabs the ball out to point and gets a single. That was full and outside off
Mohammad Saifuddin [5.0-0-39-0] is back into the attack, 1 run, stabs the ball out to point and gets a single. That was full and outside off
Mustafizur to Karthik, no run, steers it down and Karthik wants a single but MS turns him down. The man at point did superbly to stop it to his left. 9 off that over. India will take it with a new man in the middle
Mustafizur to Dhoni, 1 run," short ball, Dhoni has pulled it away to deep square leg for a single"
Mustafizur to Karthik, 1 run, looks to cut and outer-edges the ball to third man for a single
Mustafizur to Dhoni, 1 run, in his typical style tucks it off the hips for a single
Mustafizur to Dhoni, 2 runs," stays back and pushes the ball away into the off-side for a single. In fact, they get an extra run as there is a direct hit at the bowler's end and the ricochet allows the second. Dhoni was well in"
Mustafizur to Dhoni, FOUR," short ball, Dhoni stays back and wrists the cut past point for a four. Hardly any footwork, but those regal hands took over"
Mustafizur Rahman [7.0-1-44-2] is back into the attack, FOUR," short ball, Dhoni stays back and wrists the cut past point for a four. Hardly any footwork, but those regal hands took over"
Superb spell from Shakib. Ends it on a high note by picking up the wicket of Pant., FOUR," short ball, Dhoni stays back and wrists the cut past point for a four. Hardly any footwork, but those regal hands took over"
Shakib to Karthik, no run," and looks to tuck it away, the soft leading edge finds the bowler"
Shakib to Karthik, no run," what a peach! That turned away, Karthik pushed forward and got beaten!"
Shakib to Dhoni, 1 run, knocked out off the pads into the on-side for a single
Shakib to Dhoni, no run, tossed up delivery and has been pushed out to cover
Shakib to Karthik, 1 run, knocks the ball away off the pads and gets a single
Rubel to Dhoni, FOUR," short ball, at the body but that doesn't cramp him. Dhoni was waiting for that and pulls it away to deep square for a four. Well timed boundary for India. India eyeing 330"
Rubel to Dhoni, no run, slower delivery and has been knocked away to short mid
Rubel to Pant, 1 run, slower delivery again and has been steered away to deep third man for a single
Rubel to Pant, no run," slower delivery going across, Pant throws his bat and looks to slog but misses. The slower delivery did him in"
Rubel to Pant, no run, gets the ball to angle across and Pant tried to run it down. Misses
Rubel to Pant, leg byes," FOUR, looks to nudge it fine and the ball goes off the pads to go through the keeper. Rahim dived over it and let it go through for the ball to dribble away. India will take it"
Rubel Hossain [7.0-0-43-1] is back into the attack, leg byes," FOUR, looks to nudge it fine and the ball goes off the pads to go through the keeper. Rahim dived over it and let it go through for the ball to dribble away. India will take it"
Here is Rubel. The Fizz has been taken off., leg byes," FOUR, looks to nudge it fine and the ball goes off the pads to go through the keeper. Rahim dived over it and let it go through for the ball to dribble away. India will take it"
Shakib to Dhoni, no run," shorter, slower and kept low as well. MS looks to cut and cuts it out into the off-side. Finds the fielder"
Shakib to Dhoni, no run, tossed up delivery and has been pushed out into the off-side as he lunged out to defend
Shakib to Pant, 1 run, walks across his sticks and knocks it off the pads for a single
Shakib to Pant, no run, flatter delivery and has been nudged away to mid-wicket
Shakib to Pant, 2 runs, shortish delivery and slapped! The man at deep cover puts in the dive and stops it. Got into a tangle there. Two more added
Shakib to Pant, no run, nudges the ball off the pads and gets it to short fine leg
Mustafizur to Pant, 1 run, controls the pull and taps it down to fine leg for a single. Was dug in short and Pant just controlled it down
Mustafizur to Dhoni, 3 runs, on the pads and whipped away! The man at deep square leg puts in the dive and stops it. Good stop indeed as it seemed the ball will run away
Mustafizur to Dhoni, no run, bowls it on a length and has been pushed out to cover. Nice angle going across
Mustafizur to Pant, 1 run, tucks the ball off the hips for a single
Mustafizur to Pant, no run," shortish ball, gets cramped on room and has been pulled straight to the man at mid-wicket. Pant was taking a stroll down the park without even calling, MS sends him back in the nick of the time"
Mustafizur to Pant, wide, shortish delivery and Pant allows the ball to go through. Wided. Was too high
Mustafizur to Pant, FOUR," fuller delivery on the pads, heaved away and the ball escapes past the man at deep square leg for a four. The fielder had a lot to cover to his left. Missed the mark did Mustafizur and bowled it in the slot"
Mustafizur Rahman [6.0-1-34-2] is back into the attack, FOUR," fuller delivery on the pads, heaved away and the ball escapes past the man at deep square leg for a four. The fielder had a lot to cover to his left. Missed the mark did Mustafizur and bowled it in the slot"
Shakib to Dhoni, no run, flatter delivery and pushes the batter back. Dhoni strides back and pushes it out into the deck
Shakib to Pant, 1 run, slaps the cut away to deep cover for a single
Shakib to Pant, no run, spinning in and has been tucked out to short mid. Clever from Shakib
Shakib to Dhoni, 1 run, flatter delivery and has been patted down to long-on for a single
Shakib to Pant, 1 run, looks to cut and chops the ball out into the off-side for a single
Shakib to Dhoni, 1 run, slaps the ball past short cover for a single. Misfield by the man there allows the single
Dhoni vs Fizz (ODI)44 balls23 runsTwo outsSR 52.27, 1 run, slaps the ball past short cover for a single. Misfield by the man there allows the single
Shakib Al Hasan [7.0-0-32-0] is back into the attack, 1 run, slaps the ball past short cover for a single. Misfield by the man there allows the single
Can see Shakib into the attack. And there you go! MS has struggled against slow left-armers., 1 run, slaps the ball past short cover for a single. Misfield by the man there allows the single
Saifuddin to Dhoni, 1 run," short of length outside off, Dhoni punches it crisply to sweeper cover"
Saifuddin to Pant, 1 run," back of a length around off, Pant short-arm jabs it to deep square leg"
Saifuddin to Pant, FOUR," hat-trick of boundaries. Short and wee bit of space provided outside off, Pant is on the back foot and cracks the cut past the diving backward point fielder. He generated enough power to beat third man near the rope"
Saifuddin to Pant, FOUR," and he picked the off-cutter, it was fraction short and Pant was quick to pounce on that, he rocks back and nails the pull over mid-wicket. Not the best of timings but he had hit it in the gap"
Saifuddin to Pant, FOUR," Pant will keep going no matter what happens at the other end. He got a juicy overcook outside off and he leans into the drive, creams it with a bent back knee through extra cover"
Saifuddin to Pant, no run," good length ball around off, Pant knocks it in front of mid-off"
Mohammad Saifuddin [4.0-0-25-0] is back into the attack, no run," good length ball around off, Pant knocks it in front of mid-off"
Mustafizur to Dhoni, no run," double wicket maiden! He certainly has brought Bangladesh back in the game. Finishes the over with a full delivery around off, Dhoni pushes it meekly to mid-off"
Mustafizur to Dhoni, no run," slanting away outside off, Dhoni lifts his bat and lets it go"
Mustafizur to Hardik Pandya, no run," good length ball angled across, Pandya defends it with a big stride forward"
Mustafizur to Kohli, no run," back of a length around off, Kohli taps it with soft hands to backward point"
Mustafizur Rahman [5.0-0-34-0] is back into the attack, no run," back of a length around off, Kohli taps it with soft hands to backward point"
Soumya Sarkar to Pant, 2 runs," walks down even with Rahim standing up, punches it past the diving mid-wicket fielder and there are large acres of space behind, Kohli scampers back for the second easily"
Soumya Sarkar to Pant, no run," around leg-stump and Pant misses the flick to the on-side, the ball drops into the leg-side after hitting the pad"
Rahim is up to the stumps, no run," around leg-stump and Pant misses the flick to the on-side, the ball drops into the leg-side after hitting the pad"
Soumya Sarkar to Kohli, 1 run," fuller than a good length and Kohli checks his drive, hits it a bit uppishly towards mid-off but the ball landed well in front of the fielder"
Soumya Sarkar to Kohli, 2 runs," nibbling in on middle, Kohli flicks it right between long-on and deep mid-wicket, easy two"
Soumya Sarkar to Pant, 1 run," slower delivery and Pant walks forward, nurdles it to mid-wicket and crosses over"
Soumya Sarkar to Pant, FOUR," Pant wanted to sweep Sarkar and he got it finer than he would liked. Down on one knee waiting for the the good length ball, then the sweep comes off the higher part of the bat and runs away fine past the man at 45"
Shakib to Pant, 1 run," slow and turning in, Pant waits and works it with the spin past mid-wicket"
Shakib to Pant, no run," comes down the track and yorks himself, squirted off the inside edge to mid-wicket"
Back over the wicket, no run," comes down the track and yorks himself, squirted off the inside edge to mid-wicket"
Shakib to Pant, FOUR," wrong line from Shakib. Landed it around leg-stump, Pant is down on his knee and plays the sweep backward of square, the fielder in the deep was in front of square and had no chance to stop that"
Shakib to Kohli, 1 run," floated up around off, Kohli eases the drive to long-off"
Shakib to Kohli, no run," tossed up outside off, Kohli dabs it to backward point - straight to the fielder"
Shakib to Kohli, FOUR," wow! That is a superb shot. It is never easy to play against the spin but Kohli has made it look ridiculously easy. Flighted around off, Kohli moves forward and brings his wrists into play to whip it past mid-on"
Shakib Al Hasan [6.0-0-22-0] is back into the attack, FOUR," wow! That is a superb shot. It is never easy to play against the spin but Kohli has made it look ridiculously easy. Flighted around off, Kohli moves forward and brings his wrists into play to whip it past mid-on"
Soumya Sarkar to Kohli, 1 run," once more the ball doesn't arrive as Kohli expected and his pull shot is dragged adjacent to the surface on the leg-side, Pant rushes across to the striker's end"
Soumya Sarkar to Kohli, no run," short of length delivery and Kohli is not able to time the pull as the ball does not arrive, he mistimes it towards mid-wicket"
Soumya Sarkar to Kohli, 2 runs," very full delivery on off, Kohli flicks it backward of square and puts Sabbir under pressure, steals the second with ease. Hang on! Mortaza wants to review for LBW but umpire Marais Erasmus says the 15 seconds are done. Rahim went up as soon as Kohli played this and he managed to convince his skipper but too late. Good thing that the time ran out as it was clearly bat first and Bangladesh would have lost their review. The double sound was the bat going on to hit the boot"
Soumya Sarkar to Pant, 1 run," on middle and leg, Pant nudges it wide of mid-wicket, for a single"
Soumya Sarkar to Kohli, 1 run, walks towards Sarkar to make his own pace and eases it to long-on
Soumya Sarkar to Pant, 1 run," full and outside off, Pant slices the loft over extra cover and has to be content with a single"
Soumya Sarkar [4.0-0-17-1] is back into the attack, 1 run," full and outside off, Pant slices the loft over extra cover and has to be content with a single"
Rubel to Pant, 1 run," slower short of length delivery, Pant manages to beat the backward point fielder this time and he retains strike"
Rubel to Pant, no run," angled across off, Pant opens the bat face and guides it straight to backward point"
Rubel to Kohli, 1 run," short of length and Kohli rides the bounce, drops it with soft hands in front of backward point and off go the duo. There's a shy at the bowler's end but Kohli had made it in comfortably"
Rubel to Kohli, no run," back of a length around off, Kohli stands tall and knocks it to cover"
Rubel to Kohli, FOUR," just turned his wrists at the last second to place it in the gap. Not much wrong with the delivery as it was a classy shot. Full and outside off, Kohli leans across and flicks it right in between two fielders - mid-wicket and mid-on. The timing is good enough to fetch him a boundary"
Rubel to Pant, leg byes," 1 run, another leg-stump delivery that Pant fails to put bat on, off the thigh pad and rolls in front of fine leg"
Mosaddek Hossain to Pant, 1 run," drifting in with the angle, nudged away in front of square on the leg-side"
Mosaddek Hossain to Pant, SIX," four dots and Pant decides it is time to go big. Puts on the dancing shoes, gets to the pitch of the delivery and then swings it cleanly right back over the bowler. That should get him going"
Mosaddek Hossain to Pant, no run," flighted delivery around off, Pant presses forward and turns it to mid-wicket"
Mosaddek Hossain to Pant, no run," huge cry for LBW by Mosaddek but nothing from umpire Marais Erasmus. Sliding on from round the wicket, Pant is caught in the crease and struck above the kneeroll, height was the issue there"
Mosaddek Hossain to Pant, no run," tossed up around off, Pant is on the back foot to keep it out"
Mosaddek Hossain to Pant, no run," comes down the track and is not to the pitch of the ball, pushed back"
Mosaddek Hossain to Pant, wide," darted down leg and Pant has missed out there, he fails to make any connection"
Mosaddek Hossain [3.0-0-24-0] is back into the attack, wide," darted down leg and Pant has missed out there, he fails to make any connection"
Rubel to Pant, 1 run," back of a length around the hips, tucked away backward of square leg. Pant wanted two but Kohli rightly says no"
Rubel to Pant, no run," beaten! Just angled it across the left hander and got a bit of seam movement, Pant prods forward and goes tentatively poking away from the body, missed the outside edge by an inch or so"
Rubel to Kohli, 1 run," shortens the length immediately, Kohli waits for it on the back foot and tucks it in front of square leg"
Rubel to Kohli, FOUR," geez! That is a top shot. Yes, it was overpitched by Rubel but still had to be put away, Kohli leans forward and creams the drive straight past the bowler. The timing takes care of beating everyone in the field"
Rubel to Kohli, no run," that is a nothing shot. Back of a length outside off, Kohli walks into the drive and is beaten on the outside edge. He was looking to play it on the rise but couldn't quite get across to make the connection"
Soumya Sarkar to Kohli, 1 run," no pace offered and so Kohli drops it with soft hands into the off-side, quick single"
Soumya Sarkar to Kohli, 2 runs," walks forward and across to flick the full delivery from outside off to backward square, easy two"
Soumya Sarkar to Kohli, no run," slower dipping yorker, Kohli squeezes it out in front of mid-wicket"
Soumya Sarkar to Kohli, no run," back of a length close to off, Kohli drops it near his feet and looks for a single, Rahul is not interested"
Soumya Sarkar to Rahul, 1 run," back of a length on off, Rahul is inside the line to tuck it to deep square leg"
Soumya Sarkar to Rahul, 2 runs," no pace on the ball and Rahul's attempted loft goes awry, the bat turns on impact and he slices it over backward point, just managed to clear the fielder and pick up two"
Rubel is brought in just because of Kohli. He has picked up the Indian captain on a few occasions and even in the 2015 World Cup it was Rubel that removed Kohli cheaply. Mortaza remembers that and hence brings him back. He will hope he can provide the breakthrough, 2 runs," no pace on the ball and Rahul's attempted loft goes awry, the bat turns on impact and he slices it over backward point, just managed to clear the fielder and pick up two"
Most 100s in ODI cricket49 S Tendulkar41 V Kohli30 R Ponting28 S Jayasuriya27 Hashim Amla26 ROHIT SHARMA, 2 runs," no pace on the ball and Rahul's attempted loft goes awry, the bat turns on impact and he slices it over backward point, just managed to clear the fielder and pick up two"
Rubel to Kohli, no run," short of length outside off, Kohli is back and across to punch it to cover"
Rubel to Rahul, 1 run," slower off-cutter that held up a bit, Rahul adjusted and knocked it wide of cover"
Rubel to Kohli, 1 run," back of a length around off, Kohli jams it onto the pad and the balls rolls into the off-side"
Rubel to Kohli, no run," angled in around off, Kohli with his shuffle across flicks it to mid-wicket"
Slip in for Kohli, no run," angled in around off, Kohli with his shuffle across flicks it to mid-wicket"
Rubel to Rahul, 1 run," short and width provided outside off, Rahul cracks the cut square on the off-side, just a single"
Rubel to Rahul, no run, skiddy good length ball that hurries Rahul into a defensive push back to Rubel
Rubel Hossain [4.0-0-28-0] is back into the attack, no run, skiddy good length ball that hurries Rahul into a defensive push back to Rubel
Soumya Sarkar to Kohli, no run, nudges the length delivery in front of mid-wicket and says 'no' to the single. Good over by Sarkar
Soumya Sarkar to Kohli, no run, touch fuller around off and Kohli creams it to the fielder at covers
Soumya Sarkar to Kohli, no run," drives the fullish delivery to mid-on, just new to the crease"
Soumya Sarkar to Rahul, 1 run, this one kept a touch low and it was clipped through mid-wicket by Rahul
Soumya Sarkar to Rohit, FOUR," on the pads and Rohit clips it through square leg for a boundary. Teases two fielders, one in the deep and one who was chasing it from square leg"
Highest opening p'ship for India in WCs176 R Sharma - KL Rahul v Ban Edgabston 2019 *174 R Sharma - S Dhawan v Ire Hamilton 2015163 A Jadeja - S Tendulkar v Ken Cuttack 1996153 S Tendulkar - V Sehwag v SL Joburg 2003, FOUR," on the pads and Rohit clips it through square leg for a boundary. Teases two fielders, one in the deep and one who was chasing it from square leg"
Most 100s in a World Cup (100s/inngs)6/44 S Tendulkar5/42 R Ponting5/35 K Sangakkara5/15 ROHIT SHARMA, FOUR," on the pads and Rohit clips it through square leg for a boundary. Teases two fielders, one in the deep and one who was chasing it from square leg"
Shakib to Rohit, 1 run," century no. 26 for Rohit Sharma, his 4th one in the World Cup. What a player! India doesn't have one run machine any more, they got two! A short ball outside off and Sharma slices it through cover-point and gets to the magical figure. Raises his bat and acknowledges the crowd and his teams mates in the pavilion. Lovely knock!"
Shakib to Rohit, no run, tossed up by Shakib and it's been guided back to the bowler by Rohit
Shakib to Rahul, 1 run, Rahul too walks down the wicket and push-drives this one to mid-on
Shakib to Rohit, 1 run, shimmies down the wicket and drives it to long-off for a single
Shakib to Rohit, no run, Shakib is disappointed as he nearly got Rohit. That was so close to the off-stump. It kept low and went past Rohit was clearly beaten due to the lack of bounce
Shakib to Rohit, no run," floated around off, Rohit pushes it to the fielder at cover-point"
Soumya Sarkar to Rahul, no run," back of a length around middle and leg, Rahul clips it to mid-wicket, frustrating creeping in as he fails to put that away into the gap once again"
Soumya Sarkar to Rohit, 1 run," very full and wide outside off, Rohit slices it through the man at point and manages to take a single. He slipped at the non-striker's end, hence he couldn't make it back for two"
Soumya Sarkar to Rohit, no run," back of a length around off, Rohit knocks it to cover"
Soumya Sarkar to Rohit, wide," short ball around off, Rohit ducks underneath"
Soumya Sarkar to Rahul, 1 run," short and wide outside off, close to the tramline and it's been cut through cover-point"
Soumya Sarkar to Rahul, no run, makes room and slaps the short ball back to the bowler
Soumya Sarkar to Rohit, 1 run," full ball in the channel outside off, Rohit square drives it past the man at point and brings his partner back on strike"
